Reference,URL,Category
"Agriam, J. L. S., Acebedo, J. R. U., Bado, J. I., Bejarin, A. B., & Bernal, K. B. (2025). Environmental practices and level of awareness in green accounting: A descriptive-correlational analysis among accountancy students. Journal of Governance Risk Management Compliance and Sustainability, 5(1), 2638.",https://journals.researchsynergypress.com/index.php/jgrcs/article/download/2638/1715/19672 GREEN ACCOUNTING AWARENESS,
"Climate Tracker Asia. (2024, April 4). As El Niño rages, farmers turn to climate-resilient rice varieties. Retrieved from",https://climatetracker.asia/as-el-nino-rages-farmers-turn-to-climate-resilient-rice-varieties/,s://climatetracker.asia/as-el-nino-rages-farmers-turn-to-climate-resilient-rice-varieties/ CLIMATE-RESILIENT VARIETIES
Climate Transparency. (2020). Philippines: Climate change performance index report. Retrieved from,https://www.climate-transparency.org/wp-content/uploads/2021/01/Philippines-CT-2020.pdf,s://www.climate-transparency.org/wp-content/uploads/2021/01/Philippines-CT-2020.pdf EMISSIONS & 1.5°C PATHWAY
"Department of Agriculture - Bureau of Plant Industry. (2025, October 16). DA-BPI, DA-PhilRice, and IRRI strengthen climate-smart pest management in rice. International Rice Research Institute News. Retrieved from",https://www.irri.org/news-and-events/news/da-bpi-da-philrice-and-irri-strengthen-climate-smart-pest-management-rice,s://www.irri.org/news-and-events/news/da-bpi-da-philrice-and-irri-strengthen-climate-smart-pest-management-rice CLIMATE-SMART PEST MANAGEMENT
"Department of Agriculture. (2024, June 23). DA's RCEF program boosts rice production and farmers' livelihoods. Philippine Information Agency. Retrieved from",https://pia.gov.ph/das-rcef-program-boosts-rice-production-and-farmers-livelihoods/,s://pia.gov.ph/das-rcef-program-boosts-rice-production-and-farmers-livelihoods/ RCEF PROGRAM DETAILS
"Department of Agriculture. (2025, January 21). DA aims for record rice harvest despite rising production costs. Clippings for January 22, 2025. Retrieved from",https://www.da.gov.ph/wp-content/uploads/2025/01/Clippings-for-January-22-2025.pdf,s://www.da.gov.ph/wp-content/uploads/2025/01/Clippings-for-January-22-2025.pdf PRODUCTION DECLINE 2024
Department of Budget and Management. (2024). DBM releases P455.58M for Rice Competitiveness Enhancement Fund. Philippine News Agency. Retrieved from,https://www.pna.gov.ph/articles/1218736,s://www.pna.gov.ph/articles/1218736 RCEF BUDGET RELEASE
Department of Finance - Tax Academy. (2024). Determinants of rice prices in the Philippines. Retrieved from,https://doftaxacademy.gov.ph/wp-content/uploads/2024/04/Rice-Research-2-20-2024.pdf,s://doftaxacademy.gov.ph/wp-content/uploads/2024/04/Rice-Research-2-20-2024.pdf PRODUCTION COSTS & PRICES
"Konar, M., Bhattacharya, S., & Subramanian, R. (2018). Climate variability impacts on rice production in the Philippines. PLOS ONE, 13(8), e0201316. Retrieved from",https://pmc.ncbi.nlm.nih.gov/articles/PMC6084865/,s://pmc.ncbi.nlm.nih.gov/articles/PMC6084865/ CLIMATE VARIABILITY ENSO
National Integrated Climate Change Database (NICCDIES). (2017). Agriculture emissions and mitigation. Climate Change Commission. Retrieved from,https://niccdies.climate.gov.ph/mitigation/agriculture,s://niccdies.climate.gov.ph/mitigation/agriculture AGRICULTURE EMISSIONS
