Environmental_Cost_Factor,Description_Data,Current_Status,Year,Source_APA_Format_and_Link,Section,Subsection,Resource_Type,Efficiency_Indicator,Measurement_Approach,Environmental_Performance_Indicator,Indicator_Definition,Current_Status_Target,Technology_Initiative,Green_Accounting_Integration,Status,Program_Policy,Green_Accounting_Relevance,Environmental_Benefit,Training_Capacity_Building_Program,Green_Accounting_Environmental_Focus,Sustainability_Objective,Description_Data_numeric
Carbon Footprint from Rice Cultivation,Rice cultivation = 44% agriculture emissions = 33.8 MtCO2e,Tracked in national GHG inventory; major mitigation focus,2017,National Integrated Climate Change Database (2017). Agriculture emissions. https://niccdies.climate.gov.ph/mitigation/agriculture,Green Accounting,environmental_cost_tracking,,,,,,,,,,,,,,,,33.8
Total Agriculture Emissions,Agriculture = 29% Philippines total GHG (37 MtCO2e baseline 2000),Projected 50 MtCO2e by 2030 BAU; mitigation can prevent emissions,2017,NICCDIES (2017). Agriculture tracking. https://niccdies.climate.gov.ph/mitigation/agriculture,Green Accounting,environmental_cost_tracking,,,,,,,,,,,,,,,,37.0
Emission Components (Rice),Rice 62%; Synthetic fertilizers 9%; Crop residues 4%; Fermentation 12%; Manure 13%,Detailed breakdown for policy and cost tracking,2017,Climate Transparency (2020). Agriculture emissions. https://www.climate-transparency.org/wp-content/uploads/2021/01/Philippines-CT-2020.pdf,Green Accounting,environmental_cost_tracking,,,,,,,,,,,,,,,,62.0
Methane Emissions Target,Mitigation requirement per 1.5°C pathway,Need 10% decline by 2030; 35% by 2050 (from 2010 levels),2020,Climate Transparency (2020). Climate report. https://www.climate-transparency.org/wp-content/uploads/2021/01/Philippines-CT-2020.pdf,Green Accounting,environmental_cost_tracking,,,,,,,,,,,,,,,,
Nitrous Oxide Emissions Target,Mitigation requirement per 1.5°C pathway,Need 10% decline by 2030; 20% by 2050 (from 2010 levels),2020,Climate Transparency (2020). Climate report. https://www.climate-transparency.org/wp-content/uploads/2021/01/Philippines-CT-2020.pdf,Green Accounting,environmental_cost_tracking,,,,,,,,,,,,,,,,
Environmental Monitoring Infrastructure,PAGASA climate; DENR environmental assessment; soil moisture monitoring,Available via PAGASA monthly review; DENR monitoring,2024-2025,PAGASA (2025). Agro-Climatic Review. https://www.pagasa.dost.gov.ph/agri-weather/monthly-agroclimatic-review-and-outlook,Green Accounting,environmental_cost_tracking,,,,,,,,,,,,,,,,
,,,2018,Konar et al. (2018). Soil moisture monitoring. https://pmc.ncbi.nlm.nih.gov/articles/PMC6084865/,Green Accounting,resource_efficiency,Soil Moisture,Key driver of rice yield variability,Quarterly monitoring; ENSO affects rainfed and irrigated differently,,,,,,,,,,,,,
,,,2015-2024,Philippine Statistics Authority (2024). Costs database. https://ricelytics.philrice.gov.ph/staging/costs_and_returns,Green Accounting,resource_efficiency,Fertilizer Use Efficiency,Nutrient efficiency optimization,PSA Costs and Returns survey; IOA systems improve efficiency,,,,,,,,,,,,,
,,,2024,Department of Agriculture (2024). Masagana goals. https://ispweb.pcaarrd.dost.gov.ph/2024-rice-production-and-price-trends-decreasing-imports-and-initiatives-to-improve-yield/,Green Accounting,resource_efficiency,Yield per Hectare,Productivity efficiency metric,National average 84 sacks/ha; RCEF targets exceeding 25 MMT,,,,,,,,,,,,,
,,,2025,Philippine Rice Research Institute (2025). Water efficiency. https://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/,Green Accounting,resource_efficiency,Water Resource Efficiency,Irrigated vs. rainfed water use patterns,Solar irrigation and water impounding reduce costs and improve efficiency,,,,,,,,,,,,,
