Climate_Factor,Impact_Finding,Key_Data_Result,Year,Source_(APA_Format)_and_Link,Section,Subsection,Pest_Type,Climate-Related_Risk,Yield_Loss_Potential,Region_Affected,Input_Category,Cost_Trend,Specific_Data,Key_Data_Result_numeric,Yield_Loss_Potential_numeric,Cost_Trend_numeric,Specific_Data_numeric,Dataset_Source,Technology_Innovation,Description,Implementation_Status,Program_Support_Type,Details,Financial_Material_Benefit,Training_Capacity_Building_Program,Focus_Area,Implementer,Environmental_Cost_Factor,Description_Data,Current_Status,Source_APA_Format_and_Link,Resource_Type,Efficiency_Indicator,Measurement_Approach,Environmental_Performance_Indicator,Indicator_Definition,Current_Status_Target,Technology_Initiative,Green_Accounting_Integration,Status,Program_Policy,Green_Accounting_Relevance,Environmental_Benefit,Green_Accounting_Environmental_Focus,Sustainability_Objective,Description_Data_numeric,Reference,URL,Category,Type,Row_Content,Raw_Data
El Niño Effects,Stagnant rice production due to El Niño and La Niña,Production estimate revised from 20.44 MMT to 20.10 MMT (2024),2024,Department of Agriculture (2024). Rice production and price trends. https://ispweb.pcaarrd.dost.gov.ph/2024-rice-production-and-price-trends-decreasing-imports-and-initiatives-to-improve-yield/,Challenges,climate_change,,,,,,,,20.44,,,,challenges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production Decline,Palay output dropped to 4-year low,19.09 MMT (4.84% decline from 2023; weakest since 2020),2024,Philippine Statistics Authority (2025). Palay production data 2024. https://www.da.gov.ph/wp-content/uploads/2025/01/Clippings-for-January-22-2025.pdf,Challenges,climate_change,,,,,,,,19.09,,,,challenges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSO-Induced Variability,Soil moisture driven by ENSO affects rice yields,Upland rainfed systems highly sensitive; irrigated systems more stable,2018,"Konar, M., Bhattacharya, S., & Subramanian, R. (2018). Climate variability impacts on rice production. https://pmc.ncbi.nlm.nih.gov/articles/PMC6084865/",Challenges,climate_change,,,,,,,,,,,,challenges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seasonal Production Pattern,Wet-season rice most affected by stochastic rainfall,Wet season (Q3-Q4) rainfall dominated by tropical cyclone activity,2018,Konar et al. (2018). Climate variability impacts. https://pmc.ncbi.nlm.nih.gov/articles/PMC6084865/,Challenges,climate_change,,,,,,,,3.0,,,,challenges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Risk Impact,"Typhoons, floods, droughts as major loss causes",82.4% of total rice losses (1970-1990) caused by climate disasters,2000,"Yoshida, S., & Cruz, F. R. (2000). Agronomic impacts of climate variability. https://www.sciencedirect.com/science/article/abs/pii/S016788090000222X",Challenges,climate_change,,,,,,,,82.4,,,,challenges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regional Variation,Central Luzon shows variable response to climate,Central Luzon low correlations vs. Mimaropa strong positive correlations,2018,Konar et al. (2018). Climate variability impacts. https://pmc.ncbi.nlm.nih.gov/articles/PMC6084865/,Challenges,climate_change,,,,,,,,,,,,challenges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Department of Agriculture - PhilRice (2025). Climate-Smart Pest Management. https://www.irri.org/news-and-events/news/da-bpi-da-philrice-and-irri-strengthen-climate-smart-pest-management-rice,Challenges,pest_infestations,Rice Stemborers,Increased survival in warmer conditions,Up to 90% field yield loss when heavily infested,"Central Luzon, Western Visayas, Bicol, CAR",,,,,90.0,,,challenges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Department of Agriculture - PhilRice (2025). CSPM Initiative. https://www.irri.org/news-and-events/news/da-bpi-da-philrice-and-irri-strengthen-climate-smart-pest-management-rice,Challenges,pest_infestations,Brown Planthoppers,Optimal weather conditions for population growth,Significant crop damage potential,Multiple regions nationwide,,,,,,,,challenges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Department of Agriculture - PhilRice (2025). CSPM Project. https://www.irri.org/news-and-events/news/da-bpi-da-philrice-and-irri-strengthen-climate-smart-pest-management-rice,Challenges,pest_infestations,Rice Bugs,Expanded geographical distribution due to climate,Crop damage increasing nationwide,"Central Luzon, Western Visayas, Bicol, CAR",,,,,,,,challenges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Department of Agriculture - PhilRice (2025). Pest Management. https://www.irri.org/news-and-events/news/da-bpi-da-philrice-and-irri-strengthen-climate-smart-pest-management-rice,Challenges,pest_infestations,Rodent Infestations,El Niño creates breeding conditions,Severe infestation warning issued 2024,"Central Luzon, Western Visayas, Bicol, CAR",,,,,2024.0,,,challenges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2023,Department of Finance - Tax Academy (2024). Determinants of rice prices. https://doftaxacademy.gov.ph/wp-content/uploads/2024/04/Rice-Research-2-20-2024.pdf,Challenges,input_costs,,,,,Production Cost per kg,Higher than Asian average,7.0% higher than average of 6 Asian countries,,,,7.0,challenges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2018-2023,Department of Finance - Tax Academy (2024). Rice prices analysis. https://doftaxacademy.gov.ph/wp-content/uploads/2024/04/Rice-Research-2-20-2024.pdf,Challenges,input_costs,,,,,Production Cost per hectare,Decreased then increased,Php 11.76/kg (2018) to Php 11.45 (2019); increased recently,,,,11.76,challenges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2024,Philippine Information Service (2024). Rice production trends. https://ispweb.pcaarrd.dost.gov.ph/2024-rice-production-and-price-trends-decreasing-imports-and-initiatives-to-improve-yield/,Challenges,input_costs,,,,,Farmgate Price Impact,Rising input costs passed to farmers,Php 18.72/kg (2023) to Php 24.70/kg (Jan-Jul 2024) = 31.98% increase,,,,18.72,challenges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2015-2024,Philippine Rice Research Institute (2024). Ricelytics database. https://ricelytics.philrice.gov.ph/staging/costs_and_returns,Challenges,input_costs,,,,,Fertilizer/Pesticide Use,Cost component of production expenses,Included in PSA Costs and Returns survey; available via Ricelytics,,,,,challenges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2024,Philippine Statistics Authority (2024). Costs and returns data. https://ricelytics.philrice.gov.ph/staging/costs_and_returns,Challenges,input_costs,,,,,Resource Expense Distribution,Average distribution of production costs,"Tracked by PSA across irrigated, rainfed upland, rainfed lowland",,,,,challenges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2025,DA-BPI (2025). CSPM Development. https://www.irri.org/news-and-events/news/da-bpi-da-philrice-and-irri-strengthen-climate-smart-pest-management-rice,Opportunities,technology_adoption,,,,,,,,,,,,opportunities,Climate-Smart Pest Management (CSPM),"Integrated IPM + climate adaptation; reduces crop losses, increases farmer income","4-year project; DA-BPI, DA-PhilRice, IRRI; nationwide scaling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2024,Climate Tracker Asia (2024). Climate-resilient varieties. https://climatetracker.asia/as-el-nino-rages-farmers-turn-to-climate-resilient-rice-varieties/,Opportunities,technology_adoption,,,,,,,,,,,,opportunities,Climate-Resilient Rice Varieties,"Varieties to withstand climate variability (El Niño, La Niña)",Available for adoption; promoted during planting season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2024,Philippine Information Service (2024). Rice initiatives. https://ispweb.pcaarrd.dost.gov.ph/2024-rice-production-and-price-trends-decreasing-imports-and-initiatives-to-improve-yield/,Opportunities,technology_adoption,,,,,,,,,,,,opportunities,Carrageenan Plant Growth Promoter (PGP),Technology from red edible seaweeds; enhances plant growth,Funded by DOST-PCAARRD; addresses stagnant yield of 84 sacks/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2024-2025,DA Regional Office (2024). RCEF implementation. https://pia.gov.ph/das-rcef-program-boosts-rice-production-and-farmers-livelihoods/,Opportunities,technology_adoption,,,,,,,,,,,,opportunities,Mechanization Technologies,"Farm machinery: harvesting, planting, threshing","Distributed through RCEF; tractors, harvesters, planters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2024-2025,Philippine Rice Research Institute (2025). RCEF extension. https://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/,Opportunities,technology_adoption,,,,,,,,,,,,opportunities,High-Quality Certified Seeds,Improved seed varieties with enhanced traits,"RCEF seed development, propagation, promotion component",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2025,Philippine Rice Research Institute (2025). RCEF extension. https://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/,Opportunities,technology_adoption,,,,,,,,,,,,opportunities,Soil Health Improvement,Technologies for enhanced soil conditions,RCEF-funded component targeting productivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2025,Philippine Rice Research Institute (2025). RCEF P30 billion budget. https://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/,Opportunities,technology_adoption,,,,,,,,,,,,opportunities,Solar-Powered Irrigation Systems,Renewable energy for water management,RCEF-funded expansion; reducing energy costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2025,Philippine Rice Research Institute (2025). RCEF extension. https://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/,Opportunities,government_support,,,,,,,,,,,,opportunities,,,,Rice Competitiveness Enhancement Fund (RCEF),Extended to 2031 under RA 12078,Budget increased P10B to P30B annually (3x increase),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2024-2025,DA Regional Office (2024). RCEF details. https://pia.gov.ph/das-rcef-program-boosts-rice-production-and-farmers-livelihoods/,Opportunities,government_support,,,,,,,,,,,,opportunities,,,,RCEF - Direct Cash Assistance,Direct farmer payment,"Php 5,000 per farmer per season",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2024-2025,DBM (2024). RCEF Q1 2024. https://www.pna.gov.ph/articles/1218736,Opportunities,government_support,,,,,,,,,,,,opportunities,,,,RCEF - Machinery & Equipment,Grant-in-kind mechanization (50% of RCEF),"Tractors, harvesters, planters to associations and LGUs",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2024-2025,DBM (2024). RCEF guidelines. https://www.pna.gov.ph/articles/1218736,Opportunities,government_support,,,,,,,,,,,,opportunities,,,,RCEF - Seed Development Component,"Seed development, propagation, promotion (30% of RCEF)",High-quality seeds; farmer associations for production,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2024-2025,DBM (2024). RCEF credit. https://www.pna.gov.ph/articles/1218736,Opportunities,government_support,,,,,,,,,,,,opportunities,,,,RCEF - Credit Assistance,Expanded rice credit access,Financing via LandBank and Development Bank of Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2024-2025,Philippine Rice Research Institute (2025). RCEF programs. https://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/,Opportunities,government_support,,,,,,,,,,,,opportunities,,,,Rice Farmers' Financial Assistance (RFFA),Broader support program component,Cash assistance complementing RCEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2024,Department of Agriculture (2024). Masagana review. https://ispweb.pcaarrd.dost.gov.ph/2024-rice-production-and-price-trends-decreasing-imports-and-initiatives-to-improve-yield/,Opportunities,government_support,,,,,,,,,,,,opportunities,,,,Masagana Rice Industry Development Program,Comprehensive productivity boost review,"Seed quality, fertilizer optimization, efficient logistics; 25 MMT target",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2025,Philippine Rice Research Institute (2025). Water management. https://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/,Opportunities,government_support,,,,,,,,,,,,opportunities,,,,Water Management Support,Small water impounding projects,Infrastructure development through RCEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2025,DA (2025). CSPM workshop. https://www.irri.org/news-and-events/news/da-bpi-da-philrice-and-irri-strengthen-climate-smart-pest-management-rice,Opportunities,training_programs,,,,,,,,,,,,opportunities,,,,,,,Climate-Smart Pest Management (CSPM) Workshop,"Pest ID, field monitoring, IPM strategies for climate adaptation","DA-BPI, DA-PhilRice, IRRI",,,,,,,,,,,,,,,,,,,,,,,,,
,,,2024-2025,Philippine Rice Research Institute (2025). Agriculturist training. https://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/,Opportunities,training_programs,,,,,,,,,,,,opportunities,,,,,,,Municipal Agriculturist Training,"RCEF guidelines, streamlined processes, planting alignment",PhilRice workshops,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2024-2025,Philippine Rice Research Institute (2025). Coordinator training. https://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/,Opportunities,training_programs,,,,,,,,,,,,opportunities,,,,,,,Rice Coordinator Training,"RCEF implementation, farmer coordination, logistics",PhilRice workshops,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2024-2025,DA Regional Office (2024). RCEF training. https://pia.gov.ph/das-rcef-program-boosts-rice-production-and-farmers-livelihoods/,Opportunities,training_programs,,,,,,,,,,,,opportunities,,,,,,,RCEF Comprehensive Training,"Modern techniques, machinery, pest management, sustainability","ATI, TESDA, PhilRice",,,,,,,,,,,,,,,,,,,,,,,,,
,,,2024-2025,Department of Agriculture (2024). Extension services. https://www.pna.gov.ph/articles/1218736,Opportunities,training_programs,,,,,,,,,,,,opportunities,,,,,,,Extension Services,"Ongoing advisory support, field guidance",DA Rice Extension program,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2024-2025,Philippine Rice Research Institute (2025). Seed farmer programs. https://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/,Opportunities,training_programs,,,,,,,,,,,,opportunities,,,,,,,Seed Farmer Training,"Seed production, quality control, associations/cooperatives","PhilRice, DA",,,,,,,,,,,,,,,,,,,,,,,,,
,,,2024-2025,Philippine Rice Research Institute (2025). LGU training. https://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/,Opportunities,training_programs,,,,,,,,,,,,opportunities,,,,,,,Regional LGU Collaboration,"Local capacity building, process streamlining, logistics",LGUs with PhilRice support,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2017,,Green Accounting,environmental_cost_tracking,,,,,,,,,,,,green_accounting,,,,,,,,,,Carbon Footprint from Rice Cultivation,Rice cultivation = 44% agriculture emissions = 33.8 MtCO2e,Tracked in national GHG inventory; major mitigation focus,National Integrated Climate Change Database (2017). Agriculture emissions. https://niccdies.climate.gov.ph/mitigation/agriculture,,,,,,,,,,,,,,,33.8,,,,,,
,,,2017,,Green Accounting,environmental_cost_tracking,,,,,,,,,,,,green_accounting,,,,,,,,,,Total Agriculture Emissions,Agriculture = 29% Philippines total GHG (37 MtCO2e baseline 2000),Projected 50 MtCO2e by 2030 BAU; mitigation can prevent emissions,NICCDIES (2017). Agriculture tracking. https://niccdies.climate.gov.ph/mitigation/agriculture,,,,,,,,,,,,,,,37.0,,,,,,
,,,2017,,Green Accounting,environmental_cost_tracking,,,,,,,,,,,,green_accounting,,,,,,,,,,Emission Components (Rice),Rice 62%; Synthetic fertilizers 9%; Crop residues 4%; Fermentation 12%; Manure 13%,Detailed breakdown for policy and cost tracking,Climate Transparency (2020). Agriculture emissions. https://www.climate-transparency.org/wp-content/uploads/2021/01/Philippines-CT-2020.pdf,,,,,,,,,,,,,,,62.0,,,,,,
,,,2020,,Green Accounting,environmental_cost_tracking,,,,,,,,,,,,green_accounting,,,,,,,,,,Methane Emissions Target,Mitigation requirement per 1.5°C pathway,Need 10% decline by 2030; 35% by 2050 (from 2010 levels),Climate Transparency (2020). Climate report. https://www.climate-transparency.org/wp-content/uploads/2021/01/Philippines-CT-2020.pdf,,,,,,,,,,,,,,,,,,,,,
,,,2020,,Green Accounting,environmental_cost_tracking,,,,,,,,,,,,green_accounting,,,,,,,,,,Nitrous Oxide Emissions Target,Mitigation requirement per 1.5°C pathway,Need 10% decline by 2030; 20% by 2050 (from 2010 levels),Climate Transparency (2020). Climate report. https://www.climate-transparency.org/wp-content/uploads/2021/01/Philippines-CT-2020.pdf,,,,,,,,,,,,,,,,,,,,,
,,,2024-2025,,Green Accounting,environmental_cost_tracking,,,,,,,,,,,,green_accounting,,,,,,,,,,Environmental Monitoring Infrastructure,PAGASA climate; DENR environmental assessment; soil moisture monitoring,Available via PAGASA monthly review; DENR monitoring,PAGASA (2025). Agro-Climatic Review. https://www.pagasa.dost.gov.ph/agri-weather/monthly-agroclimatic-review-and-outlook,,,,,,,,,,,,,,,,,,,,,
,,,2018,,Green Accounting,resource_efficiency,,,,,,,,,,,,green_accounting,,,,,,,,,,,,,Konar et al. (2018). Soil moisture monitoring. https://pmc.ncbi.nlm.nih.gov/articles/PMC6084865/,Soil Moisture,Key driver of rice yield variability,Quarterly monitoring; ENSO affects rainfed and irrigated differently,,,,,,,,,,,,,,,,,,
,,,2015-2024,,Green Accounting,resource_efficiency,,,,,,,,,,,,green_accounting,,,,,,,,,,,,,Philippine Statistics Authority (2024). Costs database. https://ricelytics.philrice.gov.ph/staging/costs_and_returns,Fertilizer Use Efficiency,Nutrient efficiency optimization,PSA Costs and Returns survey; IOA systems improve efficiency,,,,,,,,,,,,,,,,,,
,,,2024,,Green Accounting,resource_efficiency,,,,,,,,,,,,green_accounting,,,,,,,,,,,,,Department of Agriculture (2024). Masagana goals. https://ispweb.pcaarrd.dost.gov.ph/2024-rice-production-and-price-trends-decreasing-imports-and-initiatives-to-improve-yield/,Yield per Hectare,Productivity efficiency metric,National average 84 sacks/ha; RCEF targets exceeding 25 MMT,,,,,,,,,,,,,,,,,,
,,,2025,,Green Accounting,resource_efficiency,,,,,,,,,,,,green_accounting,,,,,,,,,,,,,Philippine Rice Research Institute (2025). Water efficiency. https://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/,Water Resource Efficiency,Irrigated vs. rainfed water use patterns,Solar irrigation and water impounding reduce costs and improve efficiency,,,,,,,,,,,,,,,,,,
,,,2015-2025,,Green Accounting,resource_efficiency,,,,,,,,,,,,green_accounting,,,,,,,,,,,,,Farm indicators research (2004). Accounting systems. https://www.sciencedirect.com/science/article/abs/pii/S0167880904001495,Pesticide Application Efficiency,IPM reduces pesticide use while maintaining yield,IOA systems encourage reduced pesticide use and less toxic choices,,,,,,,,,,,,,,,,,,
,,,2020,,Green Accounting,sustainability_reporting,,,,,,,,,,,,green_accounting,,,,,,,,,,,,,Climate Transparency (2020). 1.5°C pathway. https://www.climate-transparency.org/wp-content/uploads/2021/01/Philippines-CT-2020.pdf,,,,GHG Emissions Reduction Pathway,Carbon footprint tracking toward climate targets,"1.5°C: Methane -10% (2030), -35% (2050); N2O -10% (2030), -20% (2050)",,,,,,,,,,,,,,,
,,,2017,,Green Accounting,sustainability_reporting,,,,,,,,,,,,green_accounting,,,,,,,,,,,,,NICCDIES (2017). Agriculture mitigation. https://niccdies.climate.gov.ph/mitigation/agriculture,,,,Agricultural Emissions Mitigation,"Shift to organic farming, efficient fertilizer, dietary changes",Mitigation strategies prevent substantial GHG vs. BAU,,,,,,,,,,,,,,,
,,,2025,,Green Accounting,sustainability_reporting,,,,,,,,,,,,green_accounting,,,,,,,,,,,,,Philippine Rice Research Institute (2025). Soil health. https://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/,,,,Soil Health Indicator,Soil quality and sustainability,RCEF soil health component; indicator tracking to develop,,,,,,,,,,,,,,,
,,,2020,,Green Accounting,sustainability_reporting,,,,,,,,,,,,green_accounting,,,,,,,,,,,,,Climate Transparency (2020). Sustainability. https://www.climate-transparency.org/wp-content/uploads/2021/01/Philippines-CT-2020.pdf,,,,Land Use Sustainability,Land conversion and ecosystem preservation,"Avoid peatland degradation, wetland conversion, forest creation",,,,,,,,,,,,,,,
,,,2025,,Green Accounting,sustainability_reporting,,,,,,,,,,,,green_accounting,,,,,,,,,,,,,Agriam et al. (2025). Green accounting. https://journals.researchsynergypress.com/index.php/jgrcs/article/download/2638/1715/19672,,,,Environmental Accountability Reporting,Green accounting in agricultural reporting,Increasing adoption among accountancy students and professionals,,,,,,,,,,,,,,,
,,,2025,,Green Accounting,technology_adoption_ga,,,,,,,,,,,,green_accounting,,,,,,,,,,,,,DA (2025). CSPM project. https://www.irri.org/news-and-events/news/da-bpi-da-philrice-and-irri-strengthen-climate-smart-pest-management-rice,,,,,,,Climate-Smart Pest Management (CSPM),Reduces emissions through efficient pest management,4-year national implementation; reduces losses and emissions,,,,,,,,,,,,
,,,2025,,Green Accounting,technology_adoption_ga,,,,,,,,,,,,green_accounting,,,,,,,,,,,,,Philippine Rice Research Institute (2025). RCEF renewables. https://www.philrice.gov.ph/farmers-to-benefit-from-rcef-until-2031/,,,,,,,Solar-Powered Irrigation,Replaces fuel-based irrigation; quantifiable carbon and cost savings,RCEF-funded expansion component,,,,,,,,,,,,
